year,gennme,state,quarter,suppression,totalRX
2015,Aspirin,AK,1,T,0
2015,Aspirin/Butalbital/Caffeine,AK,1,F,16
2015,Aspirin/Butalbital/Caffeine,AK,1,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,1,F,12
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,1,T,0
2015,Aspirin/Dipyridamole,AK,1,F,24
2015,Aspirin/Oxycodone Hydrochloride,AK,1,T,0
2015,Celecoxib,AK,1,F,207
2015,Celecoxib,AK,1,T,0
2015,Diclofenac Epolamine,AK,1,F,93
2015,Diclofenac Potassium,AK,1,F,12
2015,Diclofenac Potassium,AK,1,T,0
2015,Diclofenac Sodium,AK,1,F,454
2015,Diclofenac Sodium,AK,1,T,0
2015,Diclofenac Sodium/Misoprostol,AK,1,T,0
2015,Etodolac,AK,1,T,0
2015,Flurbiprofen,AK,1,F,27
2015,Flurbiprofen Sodium,AK,1,T,0
2015,Ibuprofen,AK,1,F,4843
2015,Ibuprofen,AK,1,T,0
2015,Ibuprofen/Oxycodone Hydrochloride,AK,1,T,0
2015,Indomethacin,AK,1,F,73
2015,Indomethacin,AK,1,T,0
2015,Ketoprofen,AK,1,T,0
2015,Ketorolac Tromethamine,AK,1,F,1226
2015,Ketorolac Tromethamine,AK,1,T,0
2015,Meclofenamate Sodium,AK,1,T,0
2015,Mefenamic Acid,AK,1,T,0
2015,Meloxicam,AK,1,F,818
2015,Meloxicam,AK,1,T,0
2015,Nabumetone,AK,1,F,45
2015,Nabumetone,AK,1,T,0
2015,Naproxen,AK,1,F,925
2015,Naproxen,AK,1,T,0
2015,Naproxen Sodium,AK,1,F,46
2015,Naproxen Sodium,AK,1,T,0
2015,Naproxen Sodium/Sumatriptan Succinate,AK,1,F,18
2015,Oxaprozin,AK,1,T,0
2015,Piroxicam,AK,1,F,62
2015,Piroxicam,AK,1,T,0
2015,Sulindac,AK,1,T,0
2015,Aspirin,AK,2,T,0
2015,Aspirin/Butalbital/Caffeine,AK,2,F,14
2015,Aspirin/Butalbital/Caffeine,AK,2,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,2,F,13
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,2,T,0
2015,Aspirin/Dipyridamole,AK,2,F,37
2015,Aspirin/Oxycodone Hydrochloride,AK,2,T,0
2015,Celecoxib,AK,2,F,237
2015,Celecoxib,AK,2,T,0
2015,Diclofenac Epolamine,AK,2,F,112
2015,Diclofenac Potassium,AK,2,T,0
2015,Diclofenac Sodium,AK,2,F,550
2015,Diclofenac Sodium,AK,2,T,0
2015,Diclofenac Sodium/Misoprostol,AK,2,T,0
2015,Etodolac,AK,2,T,0
2015,Flurbiprofen,AK,2,F,37
2015,Flurbiprofen Sodium,AK,2,T,0
2015,Ibuprofen,AK,2,F,4665
2015,Ibuprofen,AK,2,T,0
2015,Ibuprofen/Oxycodone Hydrochloride,AK,2,T,0
2015,Indomethacin,AK,2,F,91
2015,Indomethacin,AK,2,T,0
2015,Ketoprofen,AK,2,T,0
2015,Ketorolac Tromethamine,AK,2,F,1137
2015,Ketorolac Tromethamine,AK,2,T,0
2015,Mefenamic Acid,AK,2,T,0
2015,Meloxicam,AK,2,F,874
2015,Meloxicam,AK,2,T,0
2015,Nabumetone,AK,2,F,118
2015,Nabumetone,AK,2,T,0
2015,Naproxen,AK,2,F,1070
2015,Naproxen,AK,2,T,0
2015,Naproxen Sodium,AK,2,F,46
2015,Naproxen Sodium,AK,2,T,0
2015,Naproxen Sodium/Sumatriptan Succinate,AK,2,F,16
2015,Oxaprozin,AK,2,T,0
2015,Piroxicam,AK,2,F,79
2015,Piroxicam,AK,2,T,0
2015,Salsalate,AK,2,T,0
2015,Sulindac,AK,2,F,14
2015,Sulindac,AK,2,T,0
2015,Aspirin,AK,3,T,0
2015,Aspirin/Butalbital/Caffeine,AK,3,T,0
