year,gennme,prodnme,state,quarter,suppression,totalRX
2015,Aspirin,ASPIRIN,AK,1,T,0
2015,Aspirin/Butalbital/Caffeine,BUTALBITAL-ASPIRIN-CAFFEINE,AK,1,F,16
2015,Aspirin/Butalbital/Caffeine,BUTALBITAL-ASPIRIN-CAFFEINE,AK,1,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,1,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,1,F,12
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,1,T,0
2015,Aspirin/Dipyridamole,AGGRENOX,AK,1,F,24
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,1,T,0
2015,Celecoxib,CELEBREX,AK,1,F,48
2015,Celecoxib,CELEBREX,AK,1,T,0
2015,Celecoxib,CELECOXIB,AK,1,F,159
2015,Celecoxib,CELECOXIB,AK,1,T,0
2015,Diclofenac Epolamine,FLECTOR,AK,1,F,93
2015,Diclofenac Potassium,CAMBIA,AK,1,T,0
2015,Diclofenac Potassium,DICLOFENAC POTASSIUM,AK,1,F,12
2015,Diclofenac Sodium,DICLOFENAC SODIUM,AK,1,F,102
2015,Diclofenac Sodium,DICLOFENAC SODIUM,AK,1,T,0
2015,Diclofenac Sodium,DICLOFENAC SODIUM DR,AK,1,F,15
2015,Diclofenac Sodium,DICLOFENAC SODIUM DR,AK,1,T,0
2015,Diclofenac Sodium,PENNSAID,AK,1,T,0
2015,Diclofenac Sodium,VOLTAREN GEL,AK,1,F,337
2015,Diclofenac Sodium,VOLTAREN GEL,AK,1,T,0
2015,Diclofenac Sodium/Misoprostol,DICLOFENAC SODIUM-MISOPROSTOL,AK,1,T,0
2015,Etodolac,ETODOLAC,AK,1,T,0
2015,Flurbiprofen,FLURBIPROFEN,AK,1,F,27
2015,Flurbiprofen Sodium,FLURBIPROFEN SODIUM,AK,1,T,0
2015,Ibuprofen,CALDOLOR,AK,1,T,0
2015,Ibuprofen,IBU,AK,1,F,324
2015,Ibuprofen,IBU,AK,1,T,0
2015,Ibuprofen,IBUPROFEN,AK,1,F,4491
2015,Ibuprofen,IBUPROFEN,AK,1,T,0
2015,Ibuprofen,IBUPROFEN CHILDREN S,AK,1,F,28
2015,Ibuprofen,IBUPROFEN CHILDREN S,AK,1,T,0
2015,Ibuprofen/Oxycodone Hydrochloride,OXYCODONE HCL-IBUPROFEN,AK,1,T,0
2015,Indomethacin,INDOMETHACIN,AK,1,F,73
2015,Indomethacin,INDOMETHACIN,AK,1,T,0
2015,Ketoprofen,KETOPROFEN,AK,1,T,0
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,AK,1,F,1211
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,AK,1,T,0
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVAPLUS,AK,1,T,0
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVATION,AK,1,F,15
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVATION,AK,1,T,0
2015,Ketorolac Tromethamine,SPRIX,AK,1,T,0
2015,Meclofenamate Sodium,MECLOFENAMATE SODIUM,AK,1,T,0
2015,Mefenamic Acid,MEFENAMIC ACID,AK,1,T,0
2015,Meloxicam,MELOXICAM,AK,1,F,818
2015,Meloxicam,MELOXICAM,AK,1,T,0
2015,Nabumetone,NABUMETONE,AK,1,F,45
2015,Nabumetone,NABUMETONE,AK,1,T,0
2015,Naproxen,NAPROXEN,AK,1,F,883
2015,Naproxen,NAPROXEN,AK,1,T,0
2015,Naproxen,NAPROXEN DELAYED-RELEASE,AK,1,F,42
2015,Naproxen,NAPROXEN DELAYED-RELEASE,AK,1,T,0
2015,Naproxen Sodium,NAPROXEN SODIUM,AK,1,F,46
2015,Naproxen Sodium,NAPROXEN SODIUM,AK,1,T,0
2015,Naproxen Sodium/Sumatriptan Succinate,TREXIMET,AK,1,F,18
2015,Oxaprozin,OXAPROZIN,AK,1,T,0
2015,Piroxicam,PIROXICAM,AK,1,F,62
2015,Piroxicam,PIROXICAM,AK,1,T,0
2015,Sulindac,SULINDAC,AK,1,T,0
2015,Aspirin,ASPIRIN,AK,2,T,0
2015,Aspirin/Butalbital/Caffeine,BUTALBITAL-ASPIRIN-CAFFEINE,AK,2,F,14
2015,Aspirin/Butalbital/Caffeine,BUTALBITAL-ASPIRIN-CAFFEINE,AK,2,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,2,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,2,F,13
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,2,T,0
2015,Aspirin/Dipyridamole,AGGRENOX,AK,2,F,37
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,2,T,0
2015,Celecoxib,CELEBREX,AK,2,F,34
2015,Celecoxib,CELEBREX,AK,2,T,0
2015,Celecoxib,CELECOXIB,AK,2,F,203
2015,Celecoxib,CELECOXIB,AK,2,T,0
2015,Diclofenac Epolamine,FLECTOR,AK,2,F,112
2015,Diclofenac Potassium,CAMBIA,AK,2,T,0
2015,Diclofenac Potassium,DICLOFENAC POTASSIUM,AK,2,T,0
2015,Diclofenac Sodium,DICLOFENAC SODIUM,AK,2,F,140
2015,Diclofenac Sodium,DICLOFENAC SODIUM,AK,2,T,0
2015,Diclofenac Sodium,DICLOFENAC SODIUM DR,AK,2,F,24
2015,Diclofenac Sodium,DICLOFENAC SODIUM DR,AK,2,T,0
2015,Diclofenac Sodium,PENNSAID,AK,2,T,0
2015,Diclofenac Sodium,VOLTAREN GEL,AK,2,F,386
2015,Diclofenac Sodium/Misoprostol,DICLOFENAC SODIUM-MISOPROSTOL,AK,2,T,0
2015,Etodolac,ETODOLAC,AK,2,T,0
2015,Flurbiprofen,FLURBIPROFEN,AK,2,F,37
2015,Flurbiprofen Sodium,FLURBIPROFEN SODIUM,AK,2,T,0
2015,Ibuprofen,CHILDREN S IBUPROFEN,AK,2,T,0
2015,Ibuprofen,IBU,AK,2,F,362
2015,Ibuprofen,IBU,AK,2,T,0
2015,Ibuprofen,IBUPROFEN,AK,2,F,4269
2015,Ibuprofen,IBUPROFEN,AK,2,T,0
2015,Ibuprofen,IBUPROFEN CHILDREN S,AK,2,F,34
2015,Ibuprofen,IBUPROFEN CHILDREN S,AK,2,T,0
2015,Ibuprofen/Oxycodone Hydrochloride,OXYCODONE HCL-IBUPROFEN,AK,2,T,0
2015,Indomethacin,INDOMETHACIN,AK,2,F,91
2015,Indomethacin,INDOMETHACIN,AK,2,T,0
2015,Ketoprofen,KETOPROFEN,AK,2,T,0
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,AK,2,F,1137
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,AK,2,T,0
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE AMERINET,AK,2,T,0
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVAPLUS,AK,2,T,0
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVATION,AK,2,T,0
2015,Mefenamic Acid,MEFENAMIC ACID,AK,2,T,0
2015,Meloxicam,MELOXICAM,AK,2,F,874
2015,Meloxicam,MELOXICAM,AK,2,T,0
2015,Meloxicam,MOBIC,AK,2,T,0
2015,Nabumetone,NABUMETONE,AK,2,F,118
2015,Nabumetone,NABUMETONE,AK,2,T,0
2015,Naproxen,NAPROXEN,AK,2,F,1039
2015,Naproxen,NAPROXEN,AK,2,T,0
2015,Naproxen,NAPROXEN DELAYED-RELEASE,AK,2,F,31
2015,Naproxen Sodium,NAPROXEN SODIUM,AK,2,F,46
