year,state,quarter,totalRXImputed
2015,AK,1,10381
2015,AK,2,10870
2015,AK,3,10626
2015,AK,4,10495
2015,AZ,1,195689
2015,AZ,2,243807
2015,AZ,3,223018
2015,AZ,4,222303
2015,CO,1,83513
2015,CO,2,83068
2015,CO,3,82352
2015,CO,4,89539
2015,CT,1,100408
2015,CT,2,107181
2015,CT,3,108612
2015,CT,4,110590
2015,DE,1,28855
2015,DE,2,30581
2015,DE,3,31189
2015,DE,4,30292
2015,FL,1,304084
2015,FL,2,309023
2015,FL,3,334757
2015,FL,4,343390
2015,HI,1,49921
2015,HI,2,47350
2015,HI,3,50440
2015,HI,4,51367
2015,IL,1,195511
2015,IL,2,189308
2015,IL,3,294070
2015,IL,4,402548
2015,IN,1,130755
2015,IN,2,147896
2015,IN,3,171490
2015,IN,4,192941
2015,KY,1,133823
2015,KY,2,152133
2015,KY,3,124158
2015,KY,4,144047
2015,LA,1,131650
2015,LA,2,114642
2015,LA,3,109751
2015,LA,4,110265
2015,MI,1,410127
2015,MI,2,451786
2015,MI,3,386651
2015,MI,4,420508
2015,MO,1,141047
2015,MO,2,121761
2015,MO,3,147608
2015,MO,4,145357
2015,MS,1,58596
2015,MS,2,54598
2015,MS,3,57935
2015,MS,4,57492
2015,NC,1,137577
2015,NC,2,133294
2015,NC,3,142724
2015,NC,4,131860
2015,NH,1,20814
2015,NH,2,19285
2015,NH,3,21593
2015,NH,4,20511
2015,NJ,1,337489
2015,NJ,2,238022
2015,NJ,3,317378
2015,NJ,4,282641
2015,NV,1,78846
2015,NV,2,89842
2015,NV,3,88188
2015,NV,4,95100
2015,NY,1,1337830
2015,NY,2,1431044
2015,NY,3,1287021
2015,NY,4,1330971
2015,OH,1,488986
2015,OH,2,554364
2015,OH,3,567457
2015,OH,4,553840
2015,OK,1,37748
2015,OK,2,39358
2015,OK,3,43154
2015,OK,4,42131
2015,PA,1,275783
2015,PA,2,362114
2015,PA,3,388123
2015,PA,4,442027
2015,SC,1,59967
2015,SC,2,53968
2015,SC,3,54597
2015,SC,4,49225
2015,TN,1,124899
2015,TN,2,130493
2015,TN,3,124092
2015,TN,4,139178
2015,UT,1,33266
2015,UT,2,31989
2015,UT,3,30827
2015,UT,4,30257
2015,VA,1,110159
2015,VA,2,110555
2015,VA,3,118768
2015,VA,4,115992
2015,WA,1,188135
2015,WA,2,196094
2015,WA,3,172598
2015,WA,4,205337
2015,WV,1,96593
2015,WV,2,103537
2015,WV,3,95456
2015,WV,4,105543
2015,WY,1,5126
2015,WY,2,5096
2015,WY,3,5212
2015,WY,4,5165
2016,AK,1,14161
2016,AK,2,13335
2016,AK,3,17182
2016,AK,4,16129
2016,AZ,1,334292
2016,AZ,2,217554
2016,AZ,3,225479
2016,AZ,4,225603
2016,CO,1,95649
2016,CO,2,97559
2016,CO,3,97255
2016,CO,4,96446
2016,CT,1,116140
2016,CT,2,118061
2016,CT,3,116650
2016,CT,4,110380
2016,DE,1,34846
2016,DE,2,35725
2016,DE,3,35648
2016,DE,4,31400
2016,FL,1,342992
2016,FL,2,343518
2016,FL,3,320150
2016,FL,4,348673
2016,HI,1,43560
2016,HI,2,43235
2016,HI,3,42053
2016,HI,4,53032
2016,IL,1,345240
2016,IL,2,305311
2016,IL,3,288495
2016,IL,4,413531
2016,IN,1,191922
2016,IN,2,238677
2016,IN,3,208443
2016,IN,4,206033
2016,KY,1,313273
2016,KY,2,199218
2016,KY,3,235842
2016,KY,4,276952
2016,LA,1,109343
2016,LA,2,107236
2016,LA,3,157668
2016,LA,4,186191
2016,MI,1,541197
2016,MI,2,462699
2016,MI,3,452350
2016,MI,4,458642
2016,MO,1,148592
2016,MO,2,133771
2016,MO,3,149774
2016,MO,4,144972
2016,MS,1,57706
2016,MS,2,57209
2016,MS,3,56735
2016,MS,4,61499
2016,NC,1,134970
2016,NC,2,123961
2016,NC,3,140356
2016,NC,4,123266
2016,NH,1,16840
2016,NH,2,16205
2016,NH,3,16000
2016,NH,4,15907
2016,NJ,1,327116
2016,NJ,2,380290
2016,NJ,3,229245
2016,NJ,4,497792
2016,NV,1,98462
2016,NV,2,116425
2016,NV,3,103086
2016,NV,4,103165
2016,NY,1,1464383
2016,NY,2,1392087
2016,NY,3,1342545
2016,NY,4,1339772
2016,OH,1,644313
2016,OH,2,591604
2016,OH,3,610580
2016,OH,4,599101
2016,OK,1,41080
2016,OK,2,35126
2016,OK,3,39628
2016,OK,4,39187
2016,PA,1,428608
2016,PA,2,419864
2016,PA,3,416029
2016,PA,4,435589
2016,SC,1,43912
2016,SC,2,47289
2016,SC,3,48409
2016,SC,4,55835
2016,TN,1,141363
2016,TN,2,140145
2016,TN,3,144731
2016,TN,4,138868
2016,UT,1,31949
2016,UT,2,29371
2016,UT,3,26532
2016,UT,4,30408
2016,VA,1,114459
2016,VA,2,116886
2016,VA,3,119317
2016,VA,4,117404
2016,WA,1,201093
2016,WA,2,198140
2016,WA,3,198914
2016,WA,4,190058
2016,WV,1,102067
2016,WV,2,110815
2016,WV,3,109803
2016,WV,4,105337
2016,WY,1,5498
2016,WY,2,5407
2016,WY,3,5494
2016,WY,4,5445
2017,AK,1,20757
2017,AK,2,19315
2017,AK,3,20712
2017,AK,4,17871
2017,AZ,1,231558
2017,AZ,2,237242
2017,AZ,3,233918
2017,AZ,4,234771
2017,CO,1,90225
2017,CO,2,82504
2017,CO,3,85814
2017,CO,4,81862
2017,CT,1,114596
2017,CT,2,111347
2017,CT,3,111845
2017,CT,4,115907
2017,DE,1,27945
2017,DE,2,27896
2017,DE,3,28279
2017,DE,4,27967
2017,FL,1,310288
2017,FL,2,382716
2017,FL,3,313736
2017,FL,4,323593
2017,HI,1,58920
2017,HI,2,55517
2017,HI,3,46490
2017,HI,4,42779
2017,IL,1,494142
2017,IL,2,340664
2017,IL,3,348717
2017,IL,4,347904
2017,IN,1,205699
2017,IN,2,203580
2017,IN,3,211998
2017,IN,4,209067
2017,KY,1,341996
2017,KY,2,284633
2017,KY,3,337705
2017,KY,4,334781
2017,LA,1,204406
2017,LA,2,229439
2017,LA,3,219259
2017,LA,4,231230
2017,MI,1,483230
2017,MI,2,479115
2017,MI,3,478494
2017,MI,4,474515
2017,MO,1,134554
2017,MO,2,135573
2017,MO,3,140302
2017,MO,4,142947
2017,MS,1,60875
2017,MS,2,54421
2017,MS,3,54394
2017,MS,4,58059
2017,NC,1,149375
2017,NC,2,120723
2017,NC,3,138062
2017,NC,4,121692
2017,NH,1,15185
2017,NH,2,15061
2017,NH,3,15194
2017,NH,4,15253
2017,NJ,1,333365
2017,NJ,2,319473
2017,NJ,3,308587
2017,NJ,4,321180
2017,NV,1,111596
2017,NV,2,110508
2017,NV,3,108833
2017,NV,4,111634
2017,NY,1,1343711
2017,NY,2,1152632
2017,NY,3,1342101
2017,NY,4,1353092
2017,OH,1,650234
2017,OH,2,825578
2017,OH,3,615702
2017,OH,4,612655
2017,OK,1,37686
2017,OK,2,37084
2017,OK,3,37594
2017,OK,4,38025
2017,PA,1,437307
2017,PA,2,584471
2017,PA,3,430790
2017,PA,4,435046
2017,SC,1,55189
2017,SC,2,50509
2017,SC,3,56123
2017,SC,4,56471
2017,TN,1,140535
2017,TN,2,126249
2017,TN,3,126125
2017,TN,4,129846
2017,UT,1,29806
2017,UT,2,29175
2017,UT,3,27622
2017,UT,4,26828
2017,VA,1,118752
2017,VA,2,112226
2017,VA,3,121226
2017,VA,4,118861
2017,WA,1,193938
2017,WA,2,186034
2017,WA,3,234568
2017,WA,4,186884
2017,WV,1,111119
2017,WV,2,116075
2017,WV,3,73412
2017,WV,4,104345
2017,WY,1,4774
2017,WY,2,4659
2017,WY,3,4492
2017,WY,4,4572
2018,AK,1,19609
2018,AK,2,16700
2018,AK,3,21685
2018,AK,4,17295
2018,AZ,1,225298
2018,AZ,2,202155
2018,AZ,3,204295
2018,AZ,4,204508
2018,CO,1,75852
2018,CO,2,83382
2018,CO,3,80902
2018,CO,4,82311
2018,CT,1,118256
2018,CT,2,116773
2018,CT,3,113045
2018,CT,4,117515
2018,DE,1,30303
2018,DE,2,29076
2018,DE,3,29206
2018,DE,4,30467
2018,FL,1,335101
2018,FL,2,324038
2018,FL,3,313680
2018,FL,4,311604
2018,HI,1,47042
2018,HI,2,47037
2018,HI,3,41514
2018,HI,4,37203
2018,IL,1,335769
2018,IL,2,314595
2018,IL,3,317343
2018,IL,4,314922
2018,IN,1,204616
2018,IN,2,197877
2018,IN,3,196702
2018,IN,4,196274
2018,KY,1,338678
2018,KY,2,324183
2018,KY,3,326001
2018,KY,4,321918
2018,LA,1,232062
2018,LA,2,233661
2018,LA,3,239094
2018,LA,4,238732
2018,MI,1,493977
2018,MI,2,476709
2018,MI,3,468569
2018,MI,4,465741
2018,MO,1,145072
2018,MO,2,134314
2018,MO,3,129351
2018,MO,4,129204
2018,MS,1,57747
2018,MS,2,52056
2018,MS,3,54177
2018,MS,4,56023
2018,NC,1,140064
2018,NC,2,111490
2018,NC,3,125869
2018,NC,4,113368
2018,NH,1,15115
2018,NH,2,14893
2018,NH,3,13881
2018,NH,4,16172
2018,NJ,1,336567
2018,NJ,2,317183
2018,NJ,3,305548
2018,NJ,4,316179
2018,NV,1,118140
2018,NV,2,113835
2018,NV,3,110230
2018,NV,4,110287
2018,NY,1,1424143
2018,NY,2,1363038
2018,NY,3,1314214
2018,NY,4,1368151
2018,OH,1,603669
2018,OH,2,614513
