year,gennme,state,quarter,totalRXImputed
2015,Aspirin,AK,1,0
2015,Aspirin/Butalbital/Caffeine,AK,1,16
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,1,12
2015,Aspirin/Dipyridamole,AK,1,24
2015,Aspirin/Oxycodone Hydrochloride,AK,1,0
2015,Celecoxib,AK,1,207
2015,Diclofenac Epolamine,AK,1,93
2015,Diclofenac Potassium,AK,1,12
2015,Diclofenac Sodium,AK,1,454
2015,Diclofenac Sodium/Misoprostol,AK,1,0
2015,Etodolac,AK,1,0
2015,Flurbiprofen,AK,1,27
2015,Flurbiprofen Sodium,AK,1,0
2015,Ibuprofen,AK,1,4843
2015,Ibuprofen/Oxycodone Hydrochloride,AK,1,0
2015,Indomethacin,AK,1,73
2015,Ketoprofen,AK,1,0
2015,Ketorolac Tromethamine,AK,1,1226
2015,Meclofenamate Sodium,AK,1,0
2015,Mefenamic Acid,AK,1,0
2015,Meloxicam,AK,1,818
2015,Nabumetone,AK,1,45
2015,Naproxen,AK,1,925
2015,Naproxen Sodium,AK,1,46
2015,Naproxen Sodium/Sumatriptan Succinate,AK,1,18
2015,Oxaprozin,AK,1,0
2015,Piroxicam,AK,1,62
2015,Sulindac,AK,1,0
2015,Aspirin,AK,2,0
2015,Aspirin/Butalbital/Caffeine,AK,2,14
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,2,13
2015,Aspirin/Dipyridamole,AK,2,37
2015,Aspirin/Oxycodone Hydrochloride,AK,2,0
2015,Celecoxib,AK,2,237
2015,Diclofenac Epolamine,AK,2,112
2015,Diclofenac Potassium,AK,2,0
2015,Diclofenac Sodium,AK,2,550
2015,Diclofenac Sodium/Misoprostol,AK,2,0
2015,Etodolac,AK,2,0
2015,Flurbiprofen,AK,2,37
2015,Flurbiprofen Sodium,AK,2,0
2015,Ibuprofen,AK,2,4665
2015,Ibuprofen/Oxycodone Hydrochloride,AK,2,0
2015,Indomethacin,AK,2,91
2015,Ketoprofen,AK,2,0
2015,Ketorolac Tromethamine,AK,2,1137
2015,Mefenamic Acid,AK,2,0
2015,Meloxicam,AK,2,874
2015,Nabumetone,AK,2,118
2015,Naproxen,AK,2,1070
2015,Naproxen Sodium,AK,2,46
2015,Naproxen Sodium/Sumatriptan Succinate,AK,2,16
2015,Oxaprozin,AK,2,0
2015,Piroxicam,AK,2,79
2015,Salsalate,AK,2,0
2015,Sulindac,AK,2,14
2015,Aspirin,AK,3,0
2015,Aspirin/Butalbital/Caffeine,AK,3,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,3,0
2015,Aspirin/Dipyridamole,AK,3,12
