year,gennme,prodnme,state,quarter,totalRXImputed
2015,Aspirin,ASPIRIN,AK,1,30
2015,Aspirin/Butalbital/Caffeine,BUTALBITAL-ASPIRIN-CAFFEINE,AK,1,26
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,1,10
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,1,22
2015,Aspirin/Dipyridamole,AGGRENOX,AK,1,24
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,1,20
2015,Celecoxib,CELEBREX,AK,1,58
2015,Celecoxib,CELECOXIB,AK,1,239
2015,Diclofenac Epolamine,FLECTOR,AK,1,93
2015,Diclofenac Potassium,CAMBIA,AK,1,20
2015,Diclofenac Potassium,DICLOFENAC POTASSIUM,AK,1,12
2015,Diclofenac Sodium,DICLOFENAC SODIUM,AK,1,232
2015,Diclofenac Sodium,DICLOFENAC SODIUM DR,AK,1,25
2015,Diclofenac Sodium,PENNSAID,AK,1,20
2015,Diclofenac Sodium,VOLTAREN GEL,AK,1,347
2015,Diclofenac Sodium/Misoprostol,DICLOFENAC SODIUM-MISOPROSTOL,AK,1,30
2015,Etodolac,ETODOLAC,AK,1,50
2015,Flurbiprofen,FLURBIPROFEN,AK,1,27
2015,Flurbiprofen Sodium,FLURBIPROFEN SODIUM,AK,1,10
2015,Ibuprofen,CALDOLOR,AK,1,10
2015,Ibuprofen,IBU,AK,1,354
2015,Ibuprofen,IBUPROFEN,AK,1,4671
2015,Ibuprofen,IBUPROFEN CHILDREN S,AK,1,38
2015,Ibuprofen/Oxycodone Hydrochloride,OXYCODONE HCL-IBUPROFEN,AK,1,10
2015,Indomethacin,INDOMETHACIN,AK,1,213
2015,Ketoprofen,KETOPROFEN,AK,1,30
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,AK,1,1301
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVAPLUS,AK,1,10
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVATION,AK,1,25
2015,Ketorolac Tromethamine,SPRIX,AK,1,10
2015,Meclofenamate Sodium,MECLOFENAMATE SODIUM,AK,1,10
2015,Mefenamic Acid,MEFENAMIC ACID,AK,1,20
2015,Meloxicam,MELOXICAM,AK,1,888
2015,Nabumetone,NABUMETONE,AK,1,165
2015,Naproxen,NAPROXEN,AK,1,1023
2015,Naproxen,NAPROXEN DELAYED-RELEASE,AK,1,52
2015,Naproxen Sodium,NAPROXEN SODIUM,AK,1,56
2015,Naproxen Sodium/Sumatriptan Succinate,TREXIMET,AK,1,18
2015,Oxaprozin,OXAPROZIN,AK,1,30
2015,Piroxicam,PIROXICAM,AK,1,102
2015,Sulindac,SULINDAC,AK,1,50
2015,Aspirin,ASPIRIN,AK,2,30
2015,Aspirin/Butalbital/Caffeine,BUTALBITAL-ASPIRIN-CAFFEINE,AK,2,24
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,2,10
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,2,33
2015,Aspirin/Dipyridamole,AGGRENOX,AK,2,37
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,2,20
2015,Celecoxib,CELEBREX,AK,2,54
2015,Celecoxib,CELECOXIB,AK,2,273
2015,Diclofenac Epolamine,FLECTOR,AK,2,112
2015,Diclofenac Potassium,CAMBIA,AK,2,20
2015,Diclofenac Potassium,DICLOFENAC POTASSIUM,AK,2,30
2015,Diclofenac Sodium,DICLOFENAC SODIUM,AK,2,320
2015,Diclofenac Sodium,DICLOFENAC SODIUM DR,AK,2,34
2015,Diclofenac Sodium,PENNSAID,AK,2,30
2015,Diclofenac Sodium,VOLTAREN GEL,AK,2,386
2015,Diclofenac Sodium/Misoprostol,DICLOFENAC SODIUM-MISOPROSTOL,AK,2,70
2015,Etodolac,ETODOLAC,AK,2,60
2015,Flurbiprofen,FLURBIPROFEN,AK,2,37
2015,Flurbiprofen Sodium,FLURBIPROFEN SODIUM,AK,2,10
2015,Ibuprofen,CHILDREN S IBUPROFEN,AK,2,10
2015,Ibuprofen,IBU,AK,2,392
2015,Ibuprofen,IBUPROFEN,AK,2,4539
2015,Ibuprofen,IBUPROFEN CHILDREN S,AK,2,54
2015,Ibuprofen/Oxycodone Hydrochloride,OXYCODONE HCL-IBUPROFEN,AK,2,10
2015,Indomethacin,INDOMETHACIN,AK,2,211
2015,Ketoprofen,KETOPROFEN,AK,2,50
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,AK,2,1267
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE AMERINET,AK,2,20
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVAPLUS,AK,2,10
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVATION,AK,2,20
2015,Mefenamic Acid,MEFENAMIC ACID,AK,2,20
2015,Meloxicam,MELOXICAM,AK,2,954
2015,Meloxicam,MOBIC,AK,2,10
2015,Nabumetone,NABUMETONE,AK,2,208
2015,Naproxen,NAPROXEN,AK,2,1159
2015,Naproxen,NAPROXEN DELAYED-RELEASE,AK,2,31
2015,Naproxen Sodium,NAPROXEN SODIUM,AK,2,66
2015,Naproxen Sodium/Sumatriptan Succinate,TREXIMET,AK,2,16
2015,Oxaprozin,OXAPROZIN,AK,2,40
2015,Piroxicam,PIROXICAM,AK,2,119
2015,Salsalate,SALSALATE,AK,2,10
2015,Sulindac,SULINDAC,AK,2,64
2015,Aspirin,ASPIRIN,AK,3,30
2015,Aspirin/Butalbital/Caffeine,BUTALBITAL-ASPIRIN-CAFFEINE,AK,3,20
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,3,10
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,3,20
2015,Aspirin/Dipyridamole,AGGRENOX,AK,3,12
2015,Aspirin/Dipyridamole,ASPIRIN-DIPYRIDAMOLE,AK,3,20
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,3,10
2015,Celecoxib,CELEBREX,AK,3,30
2015,Celecoxib,CELECOXIB,AK,3,347
2015,Diclofenac Epolamine,FLECTOR,AK,3,129
2015,Diclofenac Potassium,CAMBIA,AK,3,20
2015,Diclofenac Potassium,DICLOFENAC POTASSIUM,AK,3,30
2015,Diclofenac Sodium,DICLOFENAC SODIUM,AK,3,319
2015,Diclofenac Sodium,DICLOFENAC SODIUM DR,AK,3,43
2015,Diclofenac Sodium,PENNSAID,AK,3,12
2015,Diclofenac Sodium,VOLTAREN GEL,AK,3,441
2015,Diclofenac Sodium/Misoprostol,DICLOFENAC SODIUM-MISOPROSTOL,AK,3,60
2015,Etodolac,ETODOLAC,AK,3,50
2015,Flurbiprofen,FLURBIPROFEN,AK,3,25
2015,Ibuprofen,CHILDREN S IBUPROFEN,AK,3,10
2015,Ibuprofen,IBU,AK,3,361
2015,Ibuprofen,IBUPROFEN,AK,3,4074
2015,Ibuprofen,IBUPROFEN CHILDREN S,AK,3,91
2015,Indomethacin,INDOMETHACIN,AK,3,245
2015,Ketoprofen,KETOPROFEN,AK,3,40
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,AK,3,1590
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVAPLUS,AK,3,20
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVATION,AK,3,20
2015,Mefenamic Acid,MEFENAMIC ACID,AK,3,10
2015,Meloxicam,MELOXICAM,AK,3,990
2015,Nabumetone,NABUMETONE,AK,3,204
2015,Naproxen,NAPROSYN,AK,3,10
2015,Naproxen,NAPROXEN,AK,3,1108
2015,Naproxen,NAPROXEN DELAYED-RELEASE,AK,3,28
2015,Naproxen Sodium,NAPROXEN SODIUM,AK,3,43
2015,Naproxen Sodium/Sumatriptan Succinate,TREXIMET,AK,3,20
2015,Oxaprozin,OXAPROZIN,AK,3,30
2015,Piroxicam,PIROXICAM,AK,3,90
2015,Sulindac,SULINDAC,AK,3,14
2015,Aspirin,ASPIRIN,AK,4,52
2015,Aspirin/Butalbital/Caffeine,BUTALBITAL-ASPIRIN-CAFFEINE,AK,4,20
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,4,10
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,4,20
2015,Aspirin/Dipyridamole,AGGRENOX,AK,4,10
2015,Aspirin/Dipyridamole,ASPIRIN-DIPYRIDAMOLE,AK,4,20
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,4,10
2015,Celecoxib,CELEBREX,AK,4,20
2015,Celecoxib,CELECOXIB,AK,4,396
2015,Diclofenac Epolamine,FLECTOR,AK,4,92
2015,Diclofenac Potassium,CAMBIA,AK,4,25
2015,Diclofenac Potassium,DICLOFENAC POTASSIUM,AK,4,30
2015,Diclofenac Sodium,DICLOFENAC SODIUM,AK,4,308
2015,Diclofenac Sodium,DICLOFENAC SODIUM DR,AK,4,41
2015,Diclofenac Sodium,PENNSAID,AK,4,10
2015,Diclofenac Sodium,VOLTAREN GEL,AK,4,454
2015,Diclofenac Sodium/Misoprostol,DICLOFENAC SODIUM-MISOPROSTOL,AK,4,70
2015,Etodolac,ETODOLAC,AK,4,50
2015,Fenoprofen Calcium,NALFON,AK,4,10
2015,Flurbiprofen,FLURBIPROFEN,AK,4,28
2015,Flurbiprofen Sodium,FLURBIPROFEN SODIUM,AK,4,10
2015,Ibuprofen,CHILDREN S IBUPROFEN,AK,4,20
2015,Ibuprofen,IBU,AK,4,364
2015,Ibuprofen,IBUPROFEN,AK,4,3963
2015,Ibuprofen,IBUPROFEN CHILDREN S,AK,4,84
2015,Indomethacin,INDOMETHACIN,AK,4,220
2015,Ketoprofen,KETOPROFEN,AK,4,30
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,AK,4,1427
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVAPLUS,AK,4,20
2015,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE NOVATION,AK,4,20
2015,Mefenamic Acid,MEFENAMIC ACID,AK,4,30
2015,Meloxicam,MELOXICAM,AK,4,1072
2015,Nabumetone,NABUMETONE,AK,4,174
2015,Naproxen,NAPROSYN,AK,4,10
2015,Naproxen,NAPROXEN,AK,4,1136
2015,Naproxen,NAPROXEN DELAYED-RELEASE,AK,4,21
2015,Naproxen Sodium,NAPROXEN SODIUM,AK,4,57
2015,Naproxen Sodium/Sumatriptan Succinate,TREXIMET,AK,4,20
2015,Oxaprozin,OXAPROZIN,AK,4,40
2015,Piroxicam,PIROXICAM,AK,4,81
2015,Sulindac,SULINDAC,AK,4,20
2015,Aspirin,ASPIR LOW,AZ,1,2986
2015,Aspirin,ASPIRIN,AZ,1,11347
2015,Aspirin,ASPIRIN ADULT LOW STRENGTH,AZ,1,110
2015,Aspirin,ASPIRIN CHILDREN S,AZ,1,1680
2015,Aspirin,ASPIRIN REGIMEN LOW STRENGTH,AZ,1,26
2015,Aspirin,CHILDREN S ASPIRIN,AZ,1,283
2015,Aspirin,ECOTRIN,AZ,1,10
2015,Aspirin,GOOD NEIGHBOR PHARMACY ASPIRIN,AZ,1,10
2015,Aspirin,GOOD SENSE ASPIRIN,AZ,1,20
2015,Aspirin,HEALTH MART ASPIRIN,AZ,1,43
2015,Aspirin,HEALTH MART LOW DOSE ASPIRIN,AZ,1,10
2015,Aspirin,HEALTH MART SAFETY COATED ASPIRIN,AZ,1,10
2015,Aspirin,LEADER ASPIRIN,AZ,1,76
